filename,width,height,class,xmin,ymin,xmax,ymax
aachen_000000_000019.png,224,224,road,0,98,223.890625,223.78125
aachen_000000_000019.png,224,224,vehicle,66.609375,91.875,88.265625,116.375
aachen_000000_000019.png,224,224,vehicle,15.859375,93.84375,33.25,109.8125
aachen_000000_000019.png,224,224,vehicle,15.859375,93.84375,33.25,109.8125
aachen_000000_000019.png,224,224,building,0,0,191.953125,107.40625
aachen_000000_000019.png,224,224,building,184.515625,42.65625,223.890625,111.5625
aachen_000000_000019.png,224,224,vehicle,165.375,97.5625,181.5625,109.15625
aachen_000000_000019.png,224,224,vehicle,161.765625,99.75,178.71875,112.4375
aachen_000000_000019.png,224,224,vehicle,188.234375,98.4375,203.875,111.34375
aachen_000000_000019.png,224,224,vehicle,15.859375,93.84375,33.25,109.8125
aachen_000000_000019.png,224,224,vehicle,66.609375,91.875,88.265625,116.375
aachen_000001_000019.png,224,224,building,0,0,223.890625,118.34375
aachen_000001_000019.png,224,224,road,0,92.3125,223.890625,223.78125
aachen_000001_000019.png,224,224,road,0,98.875,98.546875,160.125
aachen_000001_000019.png,224,224,vehicle,21,97.125,40.140625,117.25
aachen_000001_000019.png,224,224,vehicle,0,97.78125,7.4375,124.46875
aachen_000002_000019.png,224,224,building,52.28125,0,223.890625,145.03125
aachen_000002_000019.png,224,224,road,0,96.90625,223.890625,223.78125
aachen_000002_000019.png,224,224,vehicle,169.53125,92.3125,207.484375,137.8125
aachen_000002_000019.png,224,224,vehicle,193.265625,89.03125,223.890625,156.40625
aachen_000003_000019.png,224,224,building,0,0,223.890625,112.65625
aachen_000003_000019.png,224,224,road,0,101.9375,223.890625,223.78125
aachen_000003_000019.png,224,224,vehicle,101.71875,92.3125,108.609375,116.8125
aachen_000003_000019.png,224,224,vehicle,211.53125,91.4375,223.890625,108.9375
aachen_000003_000019.png,224,224,vehicle,54.25,94.5,71.09375,110.46875
aachen_000003_000019.png,224,224,vehicle,39.046875,94.28125,56.4375,108.5
aachen_000003_000019.png,224,224,vehicle,151.15625,95.15625,177.1875,120.96875
aachen_000003_000019.png,224,224,building,0,80.9375,14.765625,104.78125
aachen_000003_000019.png,224,224,vehicle,170.296875,90.5625,217.546875,155.53125
aachen_000003_000019.png,224,224,vehicle,103.578125,87.5,128.1875,128.84375
aachen_000004_000019.png,224,224,road,0,98.875,223.890625,223.78125
aachen_000004_000019.png,224,224,building,176.96875,0,223.890625,108.5
aachen_000004_000019.png,224,224,building,0,0,189.109375,115.0625
aachen_000004_000019.png,224,224,vehicle,0,99.3125,5.359375,137.15625
aachen_000004_000019.png,224,224,person,5.6875,95.8125,11.265625,126.21875
aachen_000004_000019.png,224,224,vehicle,59.171875,92.96875,83.5625,122.5
aachen_000004_000019.png,224,224,vehicle,139.015625,95.15625,149.078125,108.9375
aachen_000005_000019.png,224,224,building,0,0,223.890625,194.03125
aachen_000005_000019.png,224,224,road,0,100.40625,223.890625,223.78125
aachen_000005_000019.png,224,224,vehicle,164.0625,77.21875,213.390625,138.03125
aachen_000005_000019.png,224,224,vehicle,97.890625,94.0625,106.859375,108.5
aachen_000005_000019.png,224,224,vehicle,70.109375,90.34375,85.859375,114.40625
aachen_000005_000019.png,224,224,vehicle,44.515625,91.875,56,109.8125
aachen_000006_000019.png,224,224,road,0,90.34375,223.890625,223.78125
aachen_000006_000019.png,224,224,road,0,94.0625,98.546875,132.34375
aachen_000006_000019.png,224,224,vehicle,47.578125,73.71875,73.390625,104.5625
aachen_000006_000019.png,224,224,vehicle,38.0625,86.84375,58.84375,107.84375
aachen_000006_000019.png,224,224,vehicle,23.078125,87.0625,47.46875,112.4375
aachen_000006_000019.png,224,224,vehicle,12.46875,91.21875,37.40625,115.28125
aachen_000006_000019.png,224,224,person,149.078125,80.5,155.640625,112.875
aachen_000006_000019.png,224,224,vehicle,0,78.09375,14.21875,124.6875
aachen_000007_000019.png,224,224,building,0,0,223.890625,120.53125
aachen_000007_000019.png,224,224,road,0,105,223.890625,223.78125
aachen_000007_000019.png,224,224,vehicle,25.046875,91.4375,41.234375,113.09375
aachen_000008_000019.png,224,224,road,0,101.9375,223.890625,223.78125
aachen_000008_000019.png,224,224,building,0,0,203.765625,110.03125
aachen_000008_000019.png,224,224,vehicle,0,79.1875,13.78125,96.46875
aachen_000008_000019.png,224,224,vehicle,67.703125,89.03125,76.125,116.59375
aachen_000009_000019.png,224,224,building,0,0,107.078125,124.90625
aachen_000009_000019.png,224,224,road,0,106.09375,223.890625,223.78125
aachen_000009_000019.png,224,224,building,114.953125,0,223.890625,123.8125
aachen_000009_000019.png,224,224,road,116.8125,107.40625,150.9375,126.875
aachen_000009_000019.png,224,224,person,45.28125,87.9375,49.875,122.9375
aachen_000009_000019.png,224,224,person,28.328125,88.375,35.4375,123.15625
aachen_000009_000019.png,224,224,vehicle,144.375,96.03125,151.59375,122.9375
aachen_000009_000019.png,224,224,vehicle,83.234375,101.9375,98.21875,118.34375
aachen_000009_000019.png,224,224,vehicle,119.984375,100.40625,138.46875,124.46875
aachen_000010_000019.png,224,224,building,0,0,223.890625,96.03125
aachen_000010_000019.png,224,224,road,0,77.4375,223.890625,223.78125
aachen_000010_000019.png,224,224,vehicle,165.15625,96.46875,171.171875,126.21875
aachen_000010_000019.png,224,224,vehicle,122.171875,75.03125,134.859375,89.46875
aachen_000010_000019.png,224,224,vehicle,87.171875,77.21875,103.796875,90.34375
aachen_000010_000019.png,224,224,vehicle,79.84375,77.4375,99.09375,92.96875
aachen_000010_000019.png,224,224,vehicle,196.4375,82.6875,214.921875,122.71875
aachen_000010_000019.png,224,224,person,163.734375,65.625,175.765625,121.625
aachen_000010_000019.png,224,224,vehicle,195.453125,86.1875,223.890625,127.75
aachen_000010_000019.png,224,224,vehicle,38.609375,74.8125,92.859375,143.5
aachen_000010_000019.png,224,224,vehicle,203.765625,87.9375,223.890625,129.71875
aachen_000010_000019.png,224,224,vehicle,0,64.3125,56.109375,223.78125
aachen_000011_000019.png,224,224,road,0,91.875,223.890625,223.78125
aachen_000011_000019.png,224,224,road,115.5,98.65625,223.890625,168.875
aachen_000011_000019.png,224,224,building,0,0,223.890625,117.25
aachen_000011_000019.png,224,224,building,52.171875,1.96875,81.265625,71.96875
aachen_000011_000019.png,224,224,vehicle,55.453125,98,68.25,110.46875
aachen_000011_000019.png,224,224,vehicle,150.171875,89.03125,169.859375,118.125
aachen_000011_000019.png,224,224,vehicle,121.84375,93.84375,132.890625,110.03125
aachen_000011_000019.png,224,224,vehicle,128.734375,88.15625,154.546875,124.25
aachen_000011_000019.png,224,224,vehicle,171.609375,83.34375,218.96875,137.8125
aachen_000011_000019.png,224,224,vehicle,93.734375,91.21875,102.484375,112.21875
aachen_000011_000019.png,224,224,vehicle,96.03125,83.125,125.671875,136.0625
aachen_000011_000019.png,224,224,road,0,117.25,19.578125,126.21875
aachen_000011_000019.png,224,224,vehicle,0,100.84375,11.265625,122.28125
aachen_000012_000019.png,224,224,road,0,64.09375,223.890625,223.78125
aachen_000012_000019.png,224,224,building,0,0,223.890625,104.78125
aachen_000012_000019.png,224,224,vehicle,110.25,88.59375,122.9375,109.8125
aachen_000012_000019.png,224,224,building,207.046875,58.84375,223.890625,117.46875
aachen_000012_000019.png,224,224,person,211.53125,77.4375,218.859375,123.375
aachen_000012_000019.png,224,224,vehicle,137.375,51.84375,191.84375,122.28125
aachen_000012_000019.png,224,224,vehicle,96.359375,78.53125,106.3125,97.78125
aachen_000012_000019.png,224,224,vehicle,63.109375,76.78125,88.15625,103.25
aachen_000012_000019.png,224,224,vehicle,57.75,89.6875,82.6875,124.25
aachen_000012_000019.png,224,224,vehicle,0,87.9375,46.703125,169.75
aachen_000013_000019.png,224,224,road,0,83.125,223.890625,223.78125
aachen_000013_000019.png,224,224,road,0,94.5,118.671875,164.28125
aachen_000013_000019.png,224,224,building,0,0,223.890625,110.46875
aachen_000013_000019.png,224,224,building,184.296875,0,223.890625,93.40625
